Timestamp,sensorDataPV_Values,sensorDataPV_TrendHigh,sensorDataPV_TrendLow,sensorDataPV_GEDHigh,sensorDataPV_GEDLow,sensorDataPV_High,sensorDataPV_Low,sensorDataSP_Values,sensorDataMV_Values,sensorDataMV_TrendHigh,sensorDataMV_TrendLow,sensorDataMV_GEDHigh,sensorDataMV_GEDLow,sensorDataMV_High,sensorDataMV_Low,sensorDataAuto_Values,sensorQualityPV_Values,sensorQualitySP_Values,sensorQualityMV_Values,sensorQualityAuto_Values,controllerQuality
2020/12/12 00:00,52.43794632,100,0,NaN,NaN,NaN,NaN,40,40.09303665,100,0,NaN,NaN,NaN,NaN,1,0,0,0,0,4
2020/12/12 00:15,52.99098969,,,,,,,40,40.22031021,,,,,,,1,0,0,0,0,4
2020/12/12 00:30,53.50977325,,,,,,,40,40.23371124,,,,,,,1,0,0,0,0,4
2020/12/12 00:45,53.79788208,,,,,,,40,40.33000183,,,,,,,1,0,0,0,0,4
2020/12/12 01:00,56.36965942,,,,,,,40,40.71445847,,,,,,,1,0,0,0,0,4
2020/12/12 01:15,57.83179855,,,,,,,40,41.38683701,,,,,,,1,0,0,0,0,4
2020/12/12 01:30,60.78826904,,,,,,,40,42.42349625,,,,,,,1,0,0,0,0,4
2020/12/12 01:45,62.5796051,,,,,,,40,45.13068008,,,,,,,1,0,0,0,0,4
2020/12/12 02:00,61.8972168,,,,,,,40,45.82234955,,,,,,,1,0,0,0,0,4
2020/12/12 02:15,62.39683914,,,,,,,40,46.17359543,,,,,,,1,0,0,0,0,4
2020/12/12 02:30,61.5694046,,,,,,,40,46.90464783,,,,,,,1,0,0,0,0,4
2020/12/12 02:45,61.73797989,,,,,,,40,47.44677734,,,,,,,1,0,0,0,0,4
2020/12/12 03:00,62.1567955,,,,,,,40,48.0056839,,,,,,,1,0,0,0,0,4
2020/12/12 03:15,63.22895432,,,,,,,40,49.51556778,,,,,,,1,0,0,0,0,4
2020/12/12 03:30,61.60093689,,,,,,,40,50.34997559,,,,,,,1,0,0,0,0,4
2020/12/12 03:45,60.38400269,,,,,,,40,50.31001282,,,,,,,1,0,0,0,0,4
2020/12/12 04:00,65.52545166,,,,,,,40,30,,,,,,,1,2,2,2,2,4
2020/12/12 04:15,22.14183044,,,,,,,40,40,,,,,,,1,2,2,2,2,4
2020/12/12 04:30,49.27619934,,,,,,,40,40,,,,,,,1,0,0,0,0,4
2020/12/12 04:45,45.46047592,,,,,,,40,57.48574448,,,,,,,1,0,0,0,0,4
2020/12/12 05:00,52.86071777,,,,,,,40,44.49409103,,,,,,,1,0,0,0,0,4
2020/12/12 05:15,58.01287079,,,,,,,40,55.84867096,,,,,,,1,0,0,0,0,5
2020/12/12 05:30,54.34558487,,,,,,,40,52.82227325,,,,,,,1,0,0,0,0,5
2020/12/12 05:45,58.4618454,,,,,,,40,53.64200592,,,,,,,1,0,0,0,0,1
2020/12/12 06:00,58.36100388,,,,,,,40,55.11712646,,,,,,,1,0,0,0,0,5
2020/12/12 06:15,55.51269913,,,,,,,40,54.79689026,,,,,,,1,0,0,0,0,4
2020/12/12 06:30,54.9108696,,,,,,,40,53.71802139,,,,,,,1,0,0,0,0,4
2020/12/12 06:45,54.31103897,,,,,,,40,53.37335587,,,,,,,1,0,0,0,0,4
2020/12/12 07:00,53.37862015,,,,,,,40,52.91467285,,,,,,,1,0,0,0,0,4
2020/12/12 07:15,51.76930618,,,,,,,40,52.21144485,,,,,,,1,0,0,0,0,4
2020/12/12 07:30,51.46508408,,,,,,,40,50.77396774,,,,,,,1,0,0,0,0,4
2020/12/12 07:45,53.26988983,,,,,,,40,50.69449615,,,,,,,1,0,0,0,0,4
2020/12/12 08:00,53.10747147,,,,,,,40,51.03430176,,,,,,,1,0,0,0,0,4
2020/12/12 08:15,51.47296524,,,,,,,40,48.83468246,,,,,,,1,0,0,0,0,4
2020/12/12 08:30,58.28717422,,,,,,,40,51.15768814,,,,,,,1,0,0,0,0,4
2020/12/12 08:45,57.69317627,,,,,,,40,53.91271973,,,,,,,1,0,0,0,0,4
2020/12/12 09:00,55.68846893,,,,,,,40,53.63398361,,,,,,,1,0,0,0,0,4
2020/12/12 09:15,55.15121841,,,,,,,40,52.5463028,,,,,,,1,0,0,0,0,4
2020/12/12 09:30,53.98842239,,,,,,,40,52.16473389,,,,,,,1,0,0,0,0,4
2020/12/12 09:45,53.64152145,,,,,,,40,51.37698364,,,,,,,1,0,0,0,0,4
2020/12/12 10:00,54.79903412,,,,,,,40,50.90548325,,,,,,,1,0,0,0,0,4
2020/12/12 10:15,56.88057327,,,,,,,40,51.99728775,,,,,,,1,0,0,0,0,4
2020/12/12 10:30,56.92990875,,,,,,,40,53.0627327,,,,,,,1,0,0,0,0,4
2020/12/12 10:45,65.9335022,,,,,,,40,40,,,,,,,1,2,2,2,2,4
2020/12/12 11:00,47.71826553,,,,,,,40,40,,,,,,,1,0,0,0,0,4
2020/12/12 11:15,41.83215332,,,,,,,40,52.81640244,,,,,,,1,0,0,0,0,5
2020/12/12 11:30,50.83298492,,,,,,,40,40.57672501,,,,,,,1,0,0,0,0,5
2020/12/12 11:45,61.77653885,,,,,,,40,30,,,,,,,1,2,2,2,2,5
2020/12/12 12:00,64.58155823,,,,,,,40,30,,,,,,,1,0,0,0,0,1
2020/12/12 12:15,26.57917213,,,,,,,40,40,,,,,,,1,64,0,0,0,4
2020/12/12 12:30,45.09408951,,,,,,,40,42.45100784,,,,,,,1,0,0,0,0,4
2020/12/12 12:45,49.36697388,,,,,,,40,50.22913361,,,,,,,1,0,0,0,0,4
2020/12/12 13:00,49.07294464,,,,,,,40,45.57185745,,,,,,,1,0,0,0,0,4
2020/12/12 13:15,52.59436035,,,,,,,40,46.63661575,,,,,,,1,0,0,0,0,4
2020/12/12 13:30,54.39244461,,,,,,,40,47.74457932,,,,,,,1,0,0,0,0,4
2020/12/12 13:45,56.46356964,,,,,,,40,49.22707367,,,,,,,1,0,0,0,0,4
2020/12/12 14:00,55.34511185,,,,,,,40,49.99376297,,,,,,,1,0,0,0,0,4
2020/12/12 14:15,56.0564537,,,,,,,40,49.88540649,,,,,,,1,0,0,0,0,4
2020/12/12 14:30,53.85687637,,,,,,,40,49.73249054,,,,,,,1,0,0,0,0,4
2020/12/12 14:45,52.85292816,,,,,,,40,48.73323441,,,,,,,1,0,0,0,0,4
2020/12/12 15:00,53.49930573,,,,,,,40,48.16289902,,,,,,,1,0,0,0,0,4
2020/12/12 15:15,54.37477112,,,,,,,40,48.42616272,,,,,,,1,0,0,0,0,4
2020/12/12 15:30,57.09305191,,,,,,,40,49.16883469,,,,,,,1,0,0,0,0,4
2020/12/12 15:45,58.58588028,,,,,,,40,49.92795563,,,,,,,1,0,0,0,0,4
2020/12/12 16:00,61.32817078,,,,,,,40,51.34074402,,,,,,,1,0,0,0,0,4
2020/12/12 16:15,61.27681732,,,,,,,40,52.56073761,,,,,,,1,0,0,0,0,4
2020/12/12 16:30,56.5996933,,,,,,,40,52.35708618,,,,,,,1,0,0,0,0,4
2020/12/12 16:45,51.8571167,,,,,,,40,48.40199661,,,,,,,1,0,0,0,0,4
2020/12/12 17:00,53.28092957,,,,,,,40,46.43490219,,,,,,,1,0,0,0,0,5
2020/12/12 17:15,55.85731888,,,,,,,40,46.96437073,,,,,,,1,0,0,0,0,5
2020/12/12 17:30,56.65987015,,,,,,,40,47.65927124,,,,,,,1,0,0,0,0,5
2020/12/12 17:45,54.2305336,,,,,,,40,47.67809296,,,,,,,1,0,0,0,0,5
2020/12/12 18:00,52.73547745,,,,,,,40,46.46092606,,,,,,,1,0,0,0,0,5
2020/12/12 18:15,53.3987236,,,,,,,40,45.86788559,,,,,,,1,0,0,0,0,5
2020/12/12 18:30,57.54816055,,,,,,,40,46.59931564,,,,,,,1,0,0,0,0,4
2020/12/12 18:45,58.75377274,,,,,,,40,48.13271713,,,,,,,1,0,0,0,0,4
2020/12/12 19:00,56.27441406,,,,,,,40,48.37099838,,,,,,,1,0,0,0,0,4
2020/12/12 19:15,53.68771362,,,,,,,40,46.71266937,,,,,,,1,0,0,0,0,4
2020/12/12 19:30,52.52494431,,,,,,,40,45.90719604,,,,,,,1,0,0,0,0,4
2020/12/12 19:45,56.5031395,,,,,,,40,46.05033493,,,,,,,1,0,0,0,0,4
2020/12/12 20:00,57.6606369,,,,,,,40,47.13602448,,,,,,,1,0,0,0,0,4
2020/12/12 20:15,57.85935974,,,,,,,40,47.42815018,,,,,,,1,0,0,0,0,4
2020/12/12 20:30,59.53411102,,,,,,,40,48.08530807,,,,,,,1,0,0,0,0,4
2020/12/12 20:45,59.26955795,,,,,,,40,49.05650711,,,,,,,1,0,0,0,0,4
2020/12/12 21:00,61.26990509,,,,,,,40,49.90198898,,,,,,,1,0,0,0,0,4
2020/12/12 21:15,61.28327942,,,,,,,40,50.98767471,,,,,,,1,0,0,0,0,4
2020/12/12 21:30,59.07185745,,,,,,,40,51.55454254,,,,,,,1,0,0,0,0,4
2020/12/12 21:45,57.8494606,,,,,,,40,51.13453674,,,,,,,1,0,0,0,0,4
2020/12/12 22:00,60.90036011,,,,,,,40,51.84857941,,,,,,,1,0,0,0,0,4
2020/12/12 22:15,58.84251404,,,,,,,40,53.53019714,,,,,,,1,0,0,0,0,4
2020/12/12 22:30,54.94872284,,,,,,,40,51.00070953,,,,,,,1,0,0,0,0,4
2020/12/12 22:45,54.34767532,,,,,,,40,49.58221054,,,,,,,1,0,0,0,0,4
2020/12/12 23:00,3.278687477,,,,,,,40,30,,,,,,,1,2,2,2,2,4
2020/12/12 23:15,0.915397882,,,,,,,40,30,,,,,,,1,2,2,2,2,4
2020/12/12 23:30,0.30110541,,,,,,,40,30,,,,,,,1,2,2,2,2,4
2020/12/12 23:45,39.98451233,,,,,,,40,40,,,,,,,1,0,0,0,0,4
